labels(n),n,keys(n)
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-75.98887420771084,""visioncycle"":0,""hasPoint_X"":582.1850110301988}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-79.96946192519451,""visioncycle"":0,""hasPoint_X"":507.2907193824143}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":150.80289360254244,""visioncycle"":0,""hasPoint_X"":307.9621060525836}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":73.97444786167468,""visioncycle"":0,""hasPoint_X"":304.21026316640865}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":115.41679205697245,""visioncycle"":0,""hasPoint_X"":397.0221207472074}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-8.63795752318062,""visioncycle"":0,""hasPoint_X"":536.7217049920066}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-6.388295007993445,""visioncycle"":0,""hasPoint_X"":611.6879575231806}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":68.57795752318061,""visioncycle"":0,""hasPoint_X"":609.4382950079935}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":66.32829500799345,""visioncycle"":0,""hasPoint_X"":534.4720424768195}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-117.48937071701141,""visioncycle"":0,""hasPoint_X"":487.86719370700234}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-112.77062928298858,""visioncycle"":0,""hasPoint_X"":605.7728062929978}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":146.28543688683197,""visioncycle"":0,""hasPoint_X"":301.94633165964177}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_2_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":69.36686712375794,""visioncycle"":0,""hasPoint_X"":302.4154005278402}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":115.83899255912709,""visioncycle"":0,""hasPoint_X"":392.813687887277}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-67.38774268917581,""visioncycle"":0,""hasPoint_X"":309.16716998207266}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_2_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-144.15721403498787,""visioncycle"":0,""hasPoint_X"":304.35731870739255}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-103.99734910243845,""visioncycle"":0,""hasPoint_X"":397.7312660835177}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_4_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-153.91262172963462,""visioncycle"":0,""hasPoint_X"":584.0332102590944}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_3_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-155.3032765290647,""visioncycle"":0,""hasPoint_X"":512.5391206095236}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_2_for_large_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":27.61614810065762,""visioncycle"":0,""hasPoint_X"":513.4107501283358}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_1_for_medium_gear_in_kit_m2l1_vessel_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-204.8114581199627,""visioncycle"":0,""hasPoint_X"":354.9567863839195}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7316888688738209,""hasVector_I"":-0.6816387600233341}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_2_for_medium_gear_in_kit_m2l1_vessel_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_2_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-152.37980469896786,""visioncycle"":0,""hasPoint_X"":411.2382941776938}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7316888688738209,""hasVector_I"":-0.6816387600233341}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_1_for_large_gear_in_kit_m2l1_vessel_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-116.43249464195164,""visioncycle"":0,""hasPoint_X"":316.7554546439146}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7248360107409053,""hasVector_I"":-0.6889214451105511}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_1_for_medium_gear_in_kit_m2l1_vessel_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-203.58652200319003,""visioncycle"":0,""hasPoint_X"":357.30630883618375}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7179106696109434,""hasVector_I"":-0.6961352386273567}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_2_for_medium_gear_in_kit_m2l1_vessel_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_2_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-150.03979944797376,""visioncycle"":0,""hasPoint_X"":412.5279975426575}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7179106696109434,""hasVector_I"":-0.6961352386273567}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_1_for_large_gear_in_kit_m2l1_vessel_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_1_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-116.46249464195164,""visioncycle"":0,""hasPoint_X"":316.8354546439146}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.7248360107409053,""hasVector_I"":-0.6889214451105511}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_large_gear_in_large_gear_vessel_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-75.5018774463864,""visioncycle"":0,""hasPoint_X"":594.7016693283649}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.9981037720951457,""hasVector_I"":0.061553717429913085}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_medium_gear_in_medium_gear_vessel_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":52.20073935500605,""visioncycle"":0,""hasPoint_X"":546.591623604696}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.8138784566625339,""hasVector_I"":0.5810351605373051}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_medium_gear_in_medium_gear_vessel_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":113.24162360469609,""visioncycle"":0,""hasPoint_X"":590.169260644994}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.8138784566625339,""hasVector_I"":0.5810351605373051}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_large_gear_in_large_gear_vessel_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-75.138505739969,""visioncycle"":0,""hasPoint_X"":594.0726163355135}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.9986693942378135,""hasVector_I"":0.051569768398534575}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_medium_gear_in_medium_gear_vessel_3"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":156.81926064499396,""visioncycle"":0,""hasPoint_X"":529.128376395304}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.8138784566625339,""hasVector_I"":0.5810351605373051}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""empty_slot_for_medium_gear_in_medium_gear_vessel_4"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":95.77837639530392,""visioncycle"":0,""hasPoint_X"":485.550739355006}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0.8138784566625339,""hasVector_I"":0.5810351605373051}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_pt_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-214.95,""visioncycle"":0,""hasPoint_X"":581.38}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":26.74,""visioncycle"":0,""hasPoint_X"":522.75}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":59.42,""visioncycle"":0,""hasPoint_X"":305.44}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-191.81,""visioncycle"":0,""hasPoint_X"":410.74}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_pt_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-227,""visioncycle"":0,""hasPoint_X"":594.46}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_kt_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":64.8,""visioncycle"":0,""hasPoint_X"":619.26}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
